years_used,km_driven,mileage,engine,max_power,seats,selling_price,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Manual,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner
0.2307692307692308,0.061640208502086034,0.557142857142857,0.21711899791231734,0.11220043572984752,0.24999999999999997,0.042126475212991454,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.2307692307692308,0.05083721111514047,0.5033333333333333,0.3041057759220598,0.1925925925925926,0.24999999999999997,0.03410240380116311,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.5384615384615385,0.0593101502421566,0.4214285714285714,0.3037578288100209,0.12309368191721136,0.24999999999999997,0.012838614559818,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.3846153846153847,0.053802739809596115,0.5476190476190476,0.2686151704940849,0.15577342047930287,0.24999999999999997,0.019558774367224235,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.5,0.05083721111514047,0.38333333333333336,0.23451635351426584,0.15087145969498916,0.24999999999999997,0.010030189565678077,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.11538461538461539,0.019063689388829953,0.4795238095238095,0.19937369519832984,0.13360566448801747,0.24999999999999997,0.041123466286512915,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.5,0.07413779371443484,0.4119047619047619,0.15205288796102992,0.06726579520697169,0.24999999999999997,0.006619959215651032,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.7307692307692308,0.0021178111347976833,0.38333333333333336,0.05984690327070283,0.011437908496732041,0.16666666666666666,0.0015046136906104626,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.34615384615384626,0.03812780242461626,0.5616666666666666,0.25748086290883787,0.09340958605664489,0.24999999999999997,0.032096385948206026,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.2692307692307693,0.07159591197633,0.47619047619047616,0.2696590118302018,0.09613289760348585,0.24999999999999997,0.01705125205102788,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.2307692307692308,0.028807569384898507,0.45261904761904764,0.29123173277661796,0.20601851851851855,0.24999999999999997,0.04714151984538417,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.576923076923077,0.04236427198812433,0.4119047619047619,0.12839248434237996,0.07407407407407408,0.24999999999999997,0.0062187556450596145,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
